epoch,train_loss,val_loss,train_accuracy,val_accuracy,epoch_time
1,1.555208081893921,1.276254899406433,0.41554,0.5396,7.6160783767700195
2,1.098019959640503,1.27222913646698,0.61072,0.5556,7.709980010986328
3,0.9222897436523437,1.0588798835754394,0.6766,0.6391,8.109068632125854
4,0.8114715589523316,0.8557470474243164,0.72046,0.713,7.641380071640015
5,0.7263343724250794,0.7839264882087708,0.7544,0.7351,7.6582276821136475
6,0.6785025276565552,0.742357241153717,0.76854,0.7554,7.860179901123047
7,0.6280586654663086,0.6548827136039734,0.78804,0.7822,7.933568954467773
8,0.5829530837440491,0.6544693718910217,0.80542,0.7842,7.691418647766113
9,0.5403108140087127,0.6385966261386872,0.81994,0.787,7.6047444343566895
10,0.5059265037155152,0.5478414647817612,0.83082,0.818,7.609297513961792
11,0.4725122494506836,0.4954501242160797,0.84146,0.8346,7.823196887969971
12,0.44286143905639647,0.5313314962387085,0.85214,0.8216,7.690371513366699
13,0.40986009164810183,0.4801248513698578,0.86214,0.8387,7.560033321380615
14,0.38738285826683044,0.4527520709514618,0.87062,0.8467,7.814483642578125
15,0.35745054051399233,0.42899815177917483,0.8798,0.86,7.5939552783966064
16,0.3353720705318451,0.43419189324378965,0.8862,0.8555,7.408530950546265
17,0.30327777720451354,0.4367378366470337,0.89748,0.8601,7.557090759277344
18,0.27864930012702943,0.4121180260658264,0.90602,0.8671,8.079131126403809
19,0.2563287462615967,0.38020095498561857,0.91306,0.8782,7.341030120849609
20,0.23417891570568083,0.3889480315685272,0.92176,0.8748,7.6817545890808105
21,0.20611993449211122,0.3851450211524963,0.92992,0.8769,7.759347677230835
22,0.1866348050403595,0.3681594253063202,0.93592,0.8836,7.737756013870239
23,0.16490871631622314,0.3651755174994469,0.945,0.8857,7.760625123977661
24,0.14626682903289795,0.36514546921253205,0.95048,0.8882,7.487206697463989
25,0.12744665487766266,0.3499691983222961,0.9562,0.8953,7.709248065948486
26,0.1146990092420578,0.3555689167976379,0.96128,0.896,8.095896482467651
27,0.09822817276477813,0.36098101143836975,0.96694,0.8954,7.63031005859375
28,0.0938557697558403,0.35065336337089537,0.96866,0.8993,7.6159093379974365
29,0.08873901784658432,0.3512023154735565,0.9707,0.9005,7.819517612457275
30,0.08529094031333924,0.35358587527275087,0.97172,0.9003,7.552250862121582
